poi_id,name,latitude,longitude,district_id
871,Скамейка ремёсел,55.7660847,37.6359496,14
879,Наполеон,55.7582026,37.6341187,15
882,Беседка,55.7631149,37.6464757,15
904,Золотая Царицына палата,55.7507004,37.6163684,1
935,Галерея Люмьер,55.739769,37.6101799,6
936,Советской семье,55.769063,37.6289757,23
947,М. Л. Ростроповичу,55.7591119,37.6070752,16
972,Никольские ворота,55.7546027,37.6179649,1
974,Спасские ворота,55.7526214,37.6215346,1
980,Новая Третьяковка,55.7348087,37.6062274,6
1012,Первой ЖД забастовке,55.7644437,37.5995598,16
1017,В. А. Тропинину,55.7471893,37.6074991,9
1028,Музей книги,55.7604293,37.6406683,15
1041,Бабий городок,55.7349648,37.6089206,6
1043,Кадашёвская слобода,55.74398,37.6217894,6
1052,Зарядье,55.7513018,37.6288213,1
1054,Кошельная слобода,55.7493857,37.642824,20
1057,Булгаков,55.7478484,37.5874235,3
1061,Подкопаево,55.7527072,37.6412375,20
1066,Старая Москва,55.7585083,37.6365858,15
1067,Хитровка,55.7530449,37.6434941,15
1070,Базилика,55.750251,37.645608,20
1078,Вшивая горка,55.7461583,37.6449294,20
1084,Старое Ваганьково,55.7494776,37.6049191,9
1097,Гостиный двор на Полянке,55.7371986,37.6173088,6
1098,Теремной дворец,55.7505837,37.6156276,1
1106,Старый замок,55.7434425,37.6136404,6
1108,Столичный,55.744279,37.6112347,6
1109,Могила Ю. В. Андропова,55.7535087,37.6197768,1
1112,Могила С. М. Будённого,55.7536855,37.6194205,1
1118,Могила К. У. Черненко,55.753699,37.6193937,1
1122,Могила И. В. Сталина,55.7534695,37.6198544,1
1124,Могила А. А. Жданова,55.7536335,37.6195237,1
1128,Могила Л. И. Брежнева,55.7535373,37.6197201,1
1130,Могила М. В. Фрунзе,55.7536006,37.6195888,1
1132,Полянка,55.7585,37.6060159,16
1133,Могила Я. М. Свердлова,55.7535647,37.6196616,1
1135,Могила М. И. Калинина,55.7534923,37.6198092,1
1137,Ванилла,55.7621831,37.5985217,16
1138,Пушкин,55.7643319,37.6026811,1
1139,Могила К. Е. Ворошилова,55.7536648,37.6194616,1
1141,Могила Ф. Э. Дзержинского,55.7535216,37.6197512,1
1146,Р. Г. Гамзатову,55.7521477,37.6465834,20
1149,Патриарху Гермогену,55.7539923,37.6140399,1
1166,А. А. Блоку,55.7591285,37.5952991,16
1170,Шолом-Алейхему,55.7599528,37.5967567,16
1272,В. Гюго,55.7702244,37.6081463,1
1275,С. В. Рахманинову,55.7675888,37.6112875,1
1284,А. И. Герцену,55.7555714,37.6122535,1
1287,Н. П. Огарёву,55.7551046,37.6117542,1
1289,Жертвам теракта 09.12.2003,55.7563328,37.6138528,1
1295,А.И. Герцену,55.7628947,37.6023351,16
1296,Выставочный зал фонда Андрея Чеглакова,55.7394624,37.5879265,9
1299,Московский дом Ахматовой,55.7571296,37.6106752,1
1302,Музей-квартира В.Э. Мейерхольда,55.7600859,37.6099116,1
1305,Весть,55.7590892,37.6065999,16
1307,Московский музей современного искусства,55.7595636,37.5992678,16
1308,журналистам Великой Отечественной войны,55.7538219,37.6013999,16
1320,Роза Азора,55.7570078,37.5992216,16
1322,С. А. Есенину,55.7615355,37.6017875,16
1325,А. В. Щусеву,55.7597014,37.5905223,16
1329,Музей искусства народов Востока,55.7563931,37.5998947,16
1363,Стена Цоя,55.7490497,37.5909234,3
1382,Дом Высоцкого на Таганке,55.7444769,37.6518177,20
1385,Хитровка,55.7520124,37.6418949,20
1389,Музей книги,55.7522192,37.6087385,3
1390,"А. Володину, А. Вампилову, В. Розову",55.7644651,37.6461711,15
1402,А. Н. Толстому,55.7578129,37.5942958,16
1427,Жертвам политических репрессий,55.771027,37.6148266,1
1428,И. П. Павлов,55.7523076,37.6082251,3
1436,Дмитрию Донскому,55.7477449,37.6470775,20
1445,Государственный музей Л.Н. Толстого,55.7428122,37.5969685,9
1469,А. С. Пушкину,55.7499841,37.5877435,3
1476,Героям Плевны,55.7566835,37.631201,1
1483,К. С. Станиславскому и В. И. Немировичу-Данченко,55.7594845,37.6123184,1
1497,Кадашевская,55.7448646,37.6217321,6
1518,А. К. Саврасову,55.764382,37.6363571,14
1530,Александру I,55.750441,37.6127702,1
1534,Пётр I,55.7635036,37.6197594,1
1536,Калинка,55.7707466,37.616609,1
1547,А. Т. Твардовскому,55.7669888,37.6097506,1
1555,Памятная доска строительству высотного дома,55.7457433,37.6437987,20
1556,А. Н. Радищеву,55.743738,37.6502564,20
1571,Старый город,55.7610394,37.6162267,1
1577,В. П. Ногину,55.7563995,37.6331983,15
1589,Е.Ф. Гнесиной,55.75567,37.592661,3
1600,"Выставочный зал ""АхДи""",55.7506848,37.5957474,3
1618,Red Kremlin,55.7512096,37.606329,3
1661,Московский музей современного искусства (отдельное здание),55.7470341,37.6002885,9
1663,Филипповский переулок,55.7474093,37.5978655,3
1689,Крыша,55.7586462,37.6328116,15
1695,Борис Годунов,55.7651196,37.6219897,23
1704,Воспитанникам московских специальных артиллерийских школ,55.7443196,37.5979568,9
1711,Винегрет,55.7518651,37.597889,3
1714,Колобок,55.7571205,37.6029523,16
1727,Руc-Оригами,55.7429842,37.6491403,20
1729,Печать,55.7310668,37.6127341,6
1736,Алекс,55.7571517,37.603002,16
1738,Л. Н. Толстому,55.7579453,37.5866644,16
1740,"Поклонный крест преподобной Евфросинии, великой княгине Московской",55.7664679,37.6273513,23
1742,Бумеранг,55.7672812,37.6261837,23
1754,Сан-Франциско,55.7632306,37.6340974,14
1764,Континент,55.7382466,37.6419026,52
1770,Полянка на Чистых Прудах,55.7600189,37.6411638,15
1780,Ле Корбюзье,55.7673322,37.641819,14
1784,Покровка,55.7596961,37.6462861,15
1815,Государственный музей М. А. Булгакова,55.7670276,37.5939442,16
1822,Монастырский хлеб,55.7549967,37.6403904,15
1823,Дом-музей А.П. Чехова,55.7603073,37.5860933,16
1880,Мемориальный музей-квартира Е.Ф.Гнесиной,55.7552658,37.5922172,3
1882,Де Пари,55.7635832,37.6007964,16
1883,Х. Марти,55.7618811,37.5916776,16
1884,Арбат Хаус,55.7559026,37.5946661,16
1885,Фритьофу Нансену,55.7429531,37.5891422,9
1887,Н. Н. Озерову,55.7347036,37.6404606,52
1897,Музей детства,55.760394,37.6249678,23
1919,Дом И.С. Остроухова в Трубниках,55.7548346,37.5866715,3
1973,Мемориальная квартира Андрея Белого,55.74737,37.5855988,3
1977,Дом-музей А. И. Герцена,55.7471255,37.5918975,9
1987,Музей-квартира Г. С. Улановой,55.7466123,37.6418981,20
1989,Музей Императорского православного палестинского общества,55.7551257,37.6381335,15
1991,Музей Ю.В. Никулина,55.7578004,37.633077,15
1993,"Археологический выставочный комплекс ""Старый ""Гостиный двор""",55.7538794,37.6277982,1
1996,П. И. Чайковский и Москва,55.7581396,37.5853551,16
2016,Иконная лавка Казанского собора,55.7554492,37.6188777,1
2078,Музей-квартира А.М. Васнецова,55.7637956,37.6487268,15
2091,Московский музей образования,55.7360348,37.6298234,52
2094,Музей Игоря Талькова,55.7436562,37.6262588,52
2117,Комфорт-Москва,55.7414475,37.6279907,52
2129,Агиос-Отель,55.7536487,37.6542519,20
2136,Ф. Э. Дзержинскому,55.7353575,37.6090346,6
2138,СССР — оплот мира,55.7362828,37.6087279,6
2140,Дед Мазай и зайцы,55.7374961,37.6090506,6
2142,"Работникам фабрики, погибшим в Великой Отечественной войне",55.740554,37.6131666,6
2164,Песня,55.7691205,37.622057,23
2180,"100-летие открытия гостиницы ""Националь""",55.7565103,37.613949,1
2196,Выставочный зал дома Гоголя,55.753747,37.6000952,3
2208,Абаю Кунанбаеву,55.7624303,37.6430494,15
2220,Связист,55.7668457,37.6331036,14
2222,Арт-Трофи,55.767244,37.632277,14
2227,Ц. Л. Куникову,55.7638094,37.6549108,15
2232,Н. А. Некрасову,55.7451404,37.6393129,52
2237,А. В. Александрову,55.7436812,37.613997,6
2252,На Цветном,55.7729444,37.6201536,1
2279,В. И. Ленину,55.7705597,37.6236567,23
2290,В. А. Жуковскому,55.7565324,37.6534277,15
2338,Циркус,55.7711372,37.6224534,23
2345,Музей шахмат Российской шахматной федерации,55.7477911,37.6004296,9
2351,Дом великана,55.7506243,37.5948664,3
2362,Владимиру Великому,55.7496186,37.6102002,1
2368,О. Э. Мандельштаму,55.7551076,37.6388748,15
2372,Ф. Э. Дзержинскому,55.7698636,37.6128296,1
2377,Круассан,55.7374717,37.6447199,52
2398,Е. Б. Вахтангову,55.7517515,37.5900169,3
2400,Д`отель,55.7580424,37.6122194,1
2401,М. М. Плисецкой,55.7618243,37.6145857,1
2402,Центральный дом художника,55.734393,37.6043823,6
2425,"Студентам, преподавателям, сотрудникам архитектурного института, павшим в Великой Отечественной войне",55.7632179,37.623181,23
2440,С. С. Прокофьеву,55.7602884,37.6144697,1
2465,А. Г. Новикову,55.748093,37.6440178,20
2468,К. Г. Паустовскому,55.7481027,37.644071,20
2470,В. И. Мурадели,55.7481498,37.6444128,20
2473,П. В. Массальскому,55.7481808,37.6445826,20
2476,М. Н. Тихомирову,55.7482118,37.6447523,20
2479,Б. Н. Ласкорину,55.7481884,37.644893,20
2482,Благословенна в веках дружба народов России и Армении,55.7576239,37.5965596,16
2503,А. Н. Островскому,55.7596163,37.6202984,1
2505,Жбанову,55.756563,37.6125645,1
2508,Охранник,55.7581461,37.6240711,1
2510,Коровьев и Бегемот,55.7671738,37.5935552,16
2530,Голуби,55.7612883,37.624405,23
2536,"Святителю Алексию, митрополиту Московскому",55.740532,37.5995645,9
2537,Двуликий Янус,55.7389621,37.6024243,9
