poi_id,name,latitude,longitude,district_id
4009,Полесье,55.7587883,37.6377942,15
4022,Памятный камень на месте Иоанно-Златоустова монастыря,55.7592852,37.6320804,15
4034,Л. Г. Полищук,55.7598839,37.6557213,15
4045,Имрус,55.7564584,37.584828,3
4053,Доходный дом О. С. Петровской,55.7465279,37.586448,3
4054,Подводный обитаемый аппарат «Аргус»,55.7559193,37.6123444,1
4055,М. С. Сарьяну,55.7495502,37.586889,3
4056,"Борису Тенину, Лидии Сухаревской",55.7577589,37.5889174,16
4058,Остатки фундамента храма Николая Чудотворца в Столпах,55.7597659,37.6361088,15
4067,Г. В. Чичерину,55.7622374,37.6277254,23
4068,Выставочный комплекс Российской академии художеств,55.7410324,37.5928938,9
4069,Л. М. Карахану,55.7622618,37.6273376,23
4071,К. С. Станиславскому,55.7607462,37.6244052,23
4078,"Военным контрразведчикам, отдавшим жизнь за Отечество",55.7431017,37.5986239,9
4080,В. И. Сурикову,55.7467207,37.6051117,9
4081,Мемориальный музей-квартира А. М. Горького,55.7582421,37.5963004,16
4082,Н. К. Рериху и Е. И. Рерих,55.746864,37.6032078,9
4085,С. Н. Рериху,55.7468708,37.603865,9
4088,Ю. Н. Рериху,55.7469712,37.603983,9
4096,Маросейка 2,55.7571647,37.6324027,15
4130,А. В. Ляпидевскому,55.7548496,37.5998324,16
4132,М. П. Белоусову,55.7547942,37.5998615,16
4134,Г. А. Ушакову,55.7543736,37.6000918,16
4136,Н. В. Гоголю,55.7541461,37.6001825,16
4137,"Отель ""Калифорния""",55.7611112,37.6523429,15
4143,Музей ОСАО «Ингосстрах»,55.7430911,37.6265752,52
4145,Мэри Поппинс,55.741535,37.6277183,52
4147,Эден,55.7544028,37.6383319,15
4153,Дом вверх дном,55.7505852,37.5947334,3
4154,Н. А. Касаткину,55.7642804,37.6350648,14
4155,Уютная компания,55.7638098,37.6145476,1
4156,Н. К. Крупской,55.7636163,37.6400892,15
4158,А. В. Луначарскому,55.7636568,37.6400123,15
4166,А. А. Григорьеву,55.7567232,37.6266625,1
4174,А. М. Измалкову,55.7562604,37.6264775,1
4176,С. А. Есенину,55.7661581,37.614015,1
4178,М. И. Бабановой,55.7662242,37.6141786,1
4180,А. В. Вертинскому,55.7638046,37.6072014,1
4185,А. Н. Толстому,55.758506,37.5960001,16
4192,В. С. Ляхову,55.7617724,37.595591,16
4194,122-мм гаубица образца 1910 года,55.7424049,37.6420368,52
4195,122-мм гаубица образца 1910 года,55.742568,37.6418987,52
4197,К. С. Москаленко,55.7425128,37.6418438,52
4199,С. М. Будённому,55.7424787,37.6418743,52
4201,Н. И. Крылову,55.7424447,37.6419047,52
4203,В. Л. Говорову,55.7424106,37.6419352,52
4207,Дом на Маяковке,55.7667445,37.5966097,1
4221,А. И. Солженицыну,55.7644247,37.6085957,1
4222,Н. А. Островскому,55.7642937,37.6065025,1
4224,Аджару Мутталимову,55.7643364,37.6078897,1
4229,А. К. Жебрунову и С. Д. Барболину,55.7611274,37.6023439,16
4230,Омар Хайям,55.7650207,37.6086279,1
4231,В. И. Ленину,55.7568081,37.5965948,16
4232,В. В. Виноградову,55.7538838,37.6023489,16
4242,П. М. Фитину,55.7374236,37.5953932,9
4246,Г. И. Хетагурову,55.7479355,37.5971677,3
4249,А. И. Зенину,55.7504909,37.5952546,3
4257,И. А. Каримову,55.7345627,37.6199247,6
4258,Столешников,55.7618449,37.6153784,1
4260,Майя Плисецкая,55.7618934,37.6143218,1
4270,На Кузнецком,55.7616149,37.6167432,1
4272,Л. М. Гурченко,55.7654253,37.5942609,16
4308,Надгробие иерея Марка,55.7567391,37.6114731,1
4347,Галерея Гари Татинцяна,55.7500257,37.6499987,20
4349,Вере Мухиной,55.7430087,37.5956052,9
4356,Лайла,55.7417976,37.6276729,52
4358,А. И. Райкину,55.7678652,37.5985542,1
4359,И. А. Пятницкому,55.7595593,37.5993972,16
4374,Ф. В. Токареву,55.7409847,37.6167994,6
4379,С. А. Чаплыгину,55.7643354,37.6457156,15
4381,Э. Т. Кренкелю,55.7644375,37.6455614,15
4383,В. К. Монюкову,55.7641296,37.6460402,15
4385,А. М. Горькому,55.764157,37.645997,15
4391,А. М. Васнецову,55.7638783,37.6486762,15
4399,Плед,55.7729238,37.6140936,1
4402,В. А. Гиляровскому,55.7635088,37.6152878,1
4427,А. С. Пушкину,55.7586212,37.6047181,16
4435,В. А. Серову,55.7515646,37.6076081,3
4437,В. И. Ленину,55.7525394,37.6077493,3
4456,В. Я. Шишкову,55.7626332,37.6087359,1
4458,Д. Ф. Устинову,55.7504717,37.6036051,3
4459,Р. Я. Малиновскому,55.7504195,37.60382,3
4460,Алмазный фонд,55.749614,37.613758,1
4461,Г. К. Жукову,55.7503824,37.6039745,3
4469,РотФронт,55.7339135,37.6319684,52
4492,Д. В. Шурпенко,55.7647192,37.6115128,1
4495,Ледяная пещера,55.7516275,37.629121,1
4496,М. В. Нестерову,55.7464449,37.5866067,9
4497,Мэри Поппинс,55.7386814,37.6284501,52
4498,А. Н. Рыбакову,55.7478298,37.5866106,3
4500,Подземный музей,55.7500056,37.6288121,1
4502,Заповедное посольство,55.7517745,37.6282163,1
4503,А. И. Герцену,55.7471771,37.5920005,9
4504,Большой амфитеатр,55.7512737,37.6300696,1
4508,Гайдару Е. Т.,55.7576027,37.6085693,16
4510,Луг,55.7512132,37.6294477,1
4511,В. Н. Пашенной,55.7566129,37.6068939,16
4512,Луг,55.7520643,37.6304432,1
4514,Северные ландшафты,55.7519513,37.6291634,1
4516,Берёзовая роща,55.7519178,37.6258672,1
4517,Смешанный лес,55.7510054,37.6262962,1
4520,Берёзовая роща,55.7512122,37.6280764,1
4522,Хвойный лес,55.7506312,37.6270735,1
4524,Прибрежный лес,55.7501641,37.6259061,1
4526,Степь,55.7505633,37.6285324,1
4528,Малый амфитеатр,55.7506177,37.6308779,1
4530,Стеклянная кора,55.7512311,37.6311519,1
4532,Видовой холм,55.7510759,37.631256,1
4533,В. С. Высоцкому,55.7718568,37.616121,1
4534,Китайгородская стена,55.7512125,37.6324789,1
4535,В. С. Высоцкому,55.771796,37.6156769,1
4537,В. В. Маяковскому,55.7597368,37.6292278,15
4562,А. А. Давиденко,55.7479299,37.5869147,3
4564,И. Д. Папанину,55.7482728,37.587982,3
4568,Д. Н. Медведеву,55.7698819,37.6037452,1
4585,М. М. Литвинову,55.7681262,37.6483038,15
4588,Н. Д. Телешову,55.7607711,37.6461181,15
4589,Н. К. Крупской,55.7654382,37.6420267,15
4591,М. И. Калинину,55.7676653,37.593876,16
4597,Аллея правителей,55.7565478,37.636425,15
4601,Кадашевская слобода,55.7430156,37.6229033,6
4603,Вилла Кадаши,55.7437388,37.6218492,6
4607,Ковчег,55.7541211,37.5873364,3
4615,В. Р. Петрову,55.7410409,37.5979896,9
4630,Выставочные залы на Арбате,55.7469328,37.5854824,3
4632,Музей-мастерская народного художника СССР Д.А. Налбандяна,55.7626272,37.6111323,1
4658,Эрмитаж,55.7546199,37.6497723,15
4666,Боям в октябре 1917 года,55.7573803,37.5990872,16
4672,Т. Е. Хренникову,55.7456161,37.5893012,9
4674,П. П. Полубоярову,55.7469343,37.5903836,9
4676,В. И. Варенникову,55.7469747,37.59037,9
4677,И. Х. Баграмяну,55.7470027,37.5902673,9
